AAA;AA.ARRANGEMENT.ACTIVITY
AB;ABBREVIATION
ABB;ABBREVIATION
AC;ACCOUNT
ACAP;ACCT.CAPITALISATION
ACC;ACCOUNT
ACCBAL;LMM.ACCOUNT.BALANCES
ACI;ACCOUNT.CREDIT.INT
ADI;ACCOUNT.DEBIT.INT
AGC;ACCT.GEN.CONDITION
AGPC;ACCT.GROUP.CONDITION
AMSH;AM.SEGMENTED.HIERARCHY
AP;ACCOUNT.PARAMETER
APP;AZ.PRODUCT.PARAMETER
AT;ASSET.TYPE
AUTO;EBS.AUTO.FUNCTION V HELPTEXT.MENU
AVL;ACTIVITY L
AZ;AZ.ACCOUNT
AZH;AZ.ACCOUNT.HIST
AZS;AZ.SCHEDULES
AZSH;AZ.SCHEDULES.HIST
AZSP;AZ.SETTLEMENT.PRIORITY
BC;BATCH.CONTROL
BCON;BUILD.CONTROL
BI;BASIC.INTEREST
BK;PGM.BREAK
BM;BALANCE.MOVEMENT
BMB;BAL.MVMT.BVAL
BNK;PASSWORD 2 BNK
BR1;PASSWORD 2 BR1
BR2;PASSWORD 2 BR2
BRT;BULK.RATE.TEXT
BST;BULK.STO
CAL;CONSOLIDATE.ASST.LIAB
CC;CHEQUE.COLLECTION
CCY;CURRENCY
CD;CONVERSION.DETAILS
CE;CATEG.ENTRY
CET;CONSOL.ENT.TODAY
CHANGE.CURR;SUBROUTINE CHANGE.CURR
CHARGE;FT.CHARGE.TYPE
CHG;FT.CHARGE.TYPE
CHQP;CHEQUES.PRESENTED
CLASS;PM.POSN.CLASS L -
CO;COMPANY
COD;CR.OPPORTUNITY.DEFINITION
COL;COLLATERAL
COLC;COLLATERAL.CODE
COLR;COLLATERAL.RIGHT
COLT;COLLATERAL.TYPE
COLUMN;RE.STAT.COLUMN.TYPE
COM;FT.COMMISSION.TYPE
COMM;FT.COMMISSION.TYPE
COND;CONSOLIDATE.COND
CP;CONDITION.PRIORITY
CP.POS;CUSTOMER.POSITION
CPEP;CUS.POS.ENQ.PARAM
CPL;CONSOLIDATE.PRFT.LOSS
CPOS;CUSTOMER.POSITION
CR;COLLATERAL.RIGHT
CRI;COPY.RECORDS.IHLD
CS;CHEQUES.STOPPED
CTE;CONTEXT.ENQUIRY;
CU;CUSTOMER
CUS;CUSTOMER
DAO;DEPT.ACCT.OFFICER
DBR;MI.BUILD.DATABASE V MAN.BUILD
DC;DATA.CAPTURE
DCC;DIV.COUP.CUS
DCD;DIV.COUP.DET
DCDR;DIV.COUP.DET
DCM;DX.CONTRACT.MASTER;
DD;DL.DEFINE
DE.GO;DE.O.SELECT.NEXT.MESSAGE
DE.MAP;DE.O.MAP.MESSAGES
DE.PH.IF;DE.PHANTOM DE.I.SELECT.NEXT.MESSAGE
DE.PH.M;DE.PHANTOM DE.O.MAP.MESSAGES
DE.PH.NOSTRO;DE.PHANTOM DE.CC.GENERIC RECS
DE.PH.OF;DE.PHANTOM DE.O.SELECT.NEXT.MESSAGE
DE.PH.TIM;DE.PHANTOM DE.MM.TIMECHECK
DE.PH.WORDLINK;DE.PHANTOM DE.CC.GENERIC TEMPLATE
DEM;DE.MAPPING
DET;RE.SPEC.ENTRY.DETAIL
DFP;DE.FORMAT.PRINT
DFS;DE.FORMAT.SWIFT
DFT;DE.FORMAT.TEMPLATE
DIH;DE.I.HEADER
DMD;DM.MAPPING.DEFINITION
DMS;DE.MESSAGE
DMT;MB.DM.THARAAS
DOH;DE.O.HEADER
DP;DL.PARAMETER
DR;DRAWINGS
DSC;DM.SERVICE.CONTROL
DSF;DE.FORMAT.SWIFT
DUP;DM.UPLOAD.PARAM
DY;EAF V VERSION
EA;EB.API;
EAF;EBS.AUTO.FUNCTION
EBP;EB.PHANTOM V NR.DECODE
EBS;EBS.AUTO.FUNCTION V
ECB;EB.CONTRACT.BALANCES
ECS;EB.COMPOSITE.SCREEN
ED;ENQUIRY
EEE;EB.EOD.ERROR
EEED;EB.EOD.ERROR.DETAIL
EFE;EB.FORMAT.ENTRY;
EGC;EB.GC.CONSTRAINTS
EI;ENQUIRY
EJS;EB.JOURNAL.SUMMARY
EMS;EB.MAPPING.SOURCE;
ENQ;ENQUIRY.SELECT
ENQCP;ENQ MBSLS.CUSTOMER.POSITION.SUMMARY
ENT;ENTITLEMENT
ENTE;ENTITLEMENT E 2 EQ
EQ;ENQUIRY
EQA;EB.QUERIES.ANSWERS
ER;ENQUIRY.REPORT
ESDC;EB.SYSGEN.DATA.CONTROL
ESM;EB.SECURE.MESSAGE
ESS;EB.SYSTEM.SUMMARY
ETB;EB.TABLE.DEFINITION
ETP;EB.TABLE.PROCEDURES
ETS;EB.TABBED.SCREEN
EU1;PASSWORD 2 EU1
EXCEPTION;ENQ EXCEPTION
EXE;SC.EXE.SEC.ORDERS
FAC;FACILITY
FATCA;FATCA.CUSTOMER.SUPPLEMENTARY.INFO
FBC;FT.BULK.CREDIT
FCT;FD.COMMISSION.TYPE
FDO;FD.FID.ORDER
FDP;FD.FIDUCIARY
FIND;VC L 2 EQ
FO;SEAT.SCRIPT.FORMAT.OUTPUT
FR;FRA.DEAL
FRA;FRA.DEAL
FREE;SECURITY.TRANSFER
FT;FUNDS.TRANSFER
FTCOM;FT.COMMISSION.TYPE
FTE;FREE.TELEX
FTTC;FT.TXN.TYPE.CONDITION
FX;FOREX
GAP;ENQ PM.GAP
GBLOCK;GEOGRAPHIC.BLOCK
GC;GROUP.CAPITALISATION
GCI;GROUP.CREDIT.INT
GDI;GROUP.DEBIT.INT
HC;HOLD.CONTROL
HEAD;RE.STAT.REPORT.HEAD
HM;HELPTEXT.MENU
HMM;HELPTEXT.MAINMENU
HOLD;ENQ SC.HOLD.SUM
HVD;ENQ SC.HOLD.VDATE
IMAGE;IM.DOCUMENT.IMAGE
INSTALL;LMM.INSTALL.CONDS
INTCORR;TABLE.CAPITALIS.CORR
IP;INVESTMENT.PROGRAM
LAB;LMM.ACCOUNT.BALANCES
LC;LETTER.OF.CREDIT
LC.AMD;LC.AMENDMENTS
LCAC;LC.ACCOUNT.BALANCES
LD;LD.LOANS.AND.DEPOSITS
LDP;LMM.SCHEDULES
LIC;LMM.INSTALL.CONDS
LIM;LIMIT.LIAB.REPORT V PRINT
LINE;RE.STAT.REP.LINE
LO;SIGN.OFF
LOCK;LOCKING S SIGN.ON.CONTROL
LP;LIMIT.PARAMETER
LR;LIMIT.REFERENCE
LRT;LOCAL.REF.TABLE
LT;LOCAL.TABLE
MASF;MB.APP.STATIC.FIELDS
MB.CA;MB.CATEGORY.CREATE
MB.LANG.UP;E.MB.UPLOAD.LANGUAGE.INFO
MBOR;MB.BUILD.OFS.REC
MD;MD.DEAL
MEMI;MB.EXTRACT.MENU.ITEMS
MF1;PASSWORD 2 MF1
MF2;PASSWORD 2 MF2
MF3;PASSWORD 2 MF3
MG;MG.MORTGAGE
MG.ENQ;MG.BALANCE.ENQUIRY
MGP;MG.PARAMETER
MIDB;MI.DB.DEFINITION
MM;MM.MONEY.MARKET
MOAF;MB.OFS.AUTO.FUNCTION
MON;DE.MONITOR
MVL;MB.VALIDATION.LINK
MVW;MB.VALIDATION.WIZARD
NP;NETTING
OFSS;OFS.SOURCE
ORD;OFS.REQUEST.DETAIL
PAO;PW.ACTIVITY.OBJECT
PAR;PW.PARTICIPANT;
PAT;PW.ACTIVITY.TXN
PD;PD.PAYMENT.DUE
PDB;PD.BALANCES
PDC;PGM.DATA.CONTROL
PDP;PD.PARAMETER
PEVAL;OL.VAL.REPS V
PF;PGM.FILE
PH;EB.PHANTOM
PI;PERIODIC.INTEREST
POS;POSITION.TRANSFER
PP;POLICY.PARAMETER
PRE;PRE.SYNDICATION.FILE
PS;PAYMENT.STOP
PTA;PM.TRAN.ACTIVITY
PWA;PW.ACTIVITY
PWD;PW.PROCESS.DEFINITION
PWP;PW.PROCESS
PWT;PW.TRANSITION;
QA;QA.LO
QASF;QA.SELECT.FILE
QASP;QA.SELECT.FILE
QAUFR;QA.UPDATE.FILE.RECS
QS;DE.MM.DISPLAY
RANGE;RE.STAT.RANGE
RBM;REBUILD.BAL.MVMT V MAN.BUILD
RC;REPORT.CONTROL
REP1;REPGEN.CREATE
REP2;REPGEN.SOURCE
REP3;REPGEN.SORT V
REP4;REPGEN.OUTPUT V
REQUEST;RE.STAT.REQUEST
S.O;STANDING.ORDER
SAM;SEC.ACC.MASTER
SAT;SUB.ASSET.TYPE
SC.GROUP.COMPARE.GEOG;ENQ SC.GROUP.COMPARE.GEOGRAPHIC
SC5;ASSET.TYPE
SC6;SUB.ASSET.TYPE
SC7;ASSET.BY.CATEG
SC8;PRICE.TYPE
SCB;SC.BLOCK.SEC.POS
SCTR;SECURITY.TRANSFER
SCV;SEC.TRADE
SDC;SEC.DEL.CONTROL
SE;STMT.ENTRY
SEB;ENQ STMT.ENT.BOOK
SEC;SEC.TRADE
SENTEX;SENT.TELEXES.REPORT
SET;ENQ STMT.ENT.TODAY
SEX;STOCK.EXCHANGE
SG1;PASSWORD 2 SG1
SGC;SC.GROUP.COMPARE
SL;SL.LOANS
SLB;RE.STAT.LINE.BAL
SLC;RE.STAT.LINE.CONT
SLM;RE.STAT.LINE.MVMT
SM;SECURITY.MASTER
SMC;SECURITY.MASTER
SMF;ENQUIRY
SMP;SECURITY.MASTER
SMSUP;SECURITY.SUPP
SO;SIGN.OFF
SON;SIGN.ON
SOO;SEC.OPEN.ORDER
SOR;SIGN.ON.RESET
SP;SECURITY.POSITION
SPA;SC.POS.ADJUSTMENT
SPEC;RE.CONSOL.SPEC.ENTRY
SR;SR.STATEMENT.REQUEST
SRS;SL.REPAYMENT.SCHEDULES
SS;STANDARD.SELECTION
SSR;SEAT.RESULTS
SST;SEAT.SCRIPTS
ST;SEC.TRADE
STC;STOCK.DIV.CUS
STO;STANDING.ORDER
STP;SC.TRADING.POSITION
STPH;SC.TRANS.POS.HISTORY
STR;STOCK.DIV.DET
SU;DE.MM.BC.O.SUMMARY
SVD;ENQ SC.HOLD.VDATE
TEST;DE.INPUT.TESTKEY
TI;TELLER.ID
TICKLER;EB.TICKLER
TOO;TRADE.OPEN.ORDER
TPL;TAABS.PRE.LOAD I
TRF;SECURITY.TRANSFER
TS;TSA.SERVICE
TSS;TSA.SERVICE
TT;TELLER
TXN;TRANSACTION
UA;USER.ABBREVIATION
VAL;ENQ SC.VAL.MARKET
VC;VAULT.CONTROL
VE;VAULT.EXPECT
VI;VERSION